A Z
#################################################################################S###############################OH######################G##W###########################################################
#...#......#...#.........#..........#........#.......#.........#....#....#.........#.........#..#.....#....#.........#...#....#..#.....##..#.#....#.........#.......#.......#......#.#.....#.....#.....#
#...#......#...#.........#..........#........#.......#.........#....#....#.........#.........#..#.....#....#.........#...#....#..#.....##..#.#....#.........#.......#.......#......#.#.....#.....#.....#
###.....####.............#..........#........#.......#.........#....#....#.........#.........#..#.....#....#.........#........###...####..###...###.................#####.....#######....###...........#
#..........#.............#...................#.................#.........######........#######..#.....#....#.........#........#........#...#......######......#######..............#.......####....#####
#..........#.............#...................#.................#.........#...................###...########.....########...####........#...#......#.................#..............#.......#...........#
#..........####......##########........############......#######.........#...................#........#..............#.................##....#....#................................#.#...........#.....#
#..........#.............#...................#.................###....####...................#........#..............#.................##....#....#.........#...............#......#.#...........#.....#
#...#......#...#.........#...................#.................#.............................#.......................#...#.......#.....##....#....#.........#...............#......#.#...........#.....#
#...#..........#.........#..........#................#.........#....#..............#.........#.......................#...#.......#.....###...#.####.........#...............#......######........#######
#...#..........#.........#..........#................#.........#....#..............#.........#.......................#...#.......#.....##....#....###########...........############.#...........#.....#
########.......#.#########..........#................#.........#....#..............#.........#..#..........#.........######......########....#....#........#..............#........#.#...........#.....#
#....#.........#.........#..........#................#.........#....#..............#.........#..#..........#.........#...#........#....#...##...###........#..............#........#...................#
#....#.........#.........############..............######################..........###########..#..........#.........###...####........#..##......#.................#..............##....######....#####
#....#.........#.........#.........#................#..........#..#..................#.......#..#..........#.........#........###...####...#......######......###########.....######.......#...........#
#....#.........#.........#.........#................#..........#..#..................#.......#..#..........#.........#........#........#...#......#.................#..............#.......#...........#
#..........####......#####.........#................#..........#..#..................#.......########......#.#########........#........##..#.#....#........#........#.....#........#.#.....#.....#.....#
###.....####.............#.........#................#..........###....####...................#...#...........#.......#...#....#...#....##..#.#....#........#........#.....#........#.#.....#.....#.....#
#..............................................................#.........#.......................#....#......#.......#...#....#...#.....#..#.#....#........#........#.....#..........#.....#.....#.....#
#..........#.................................######......#######.........#............................#..............##########.#.#.....###########################.#.....##.........###################
#..........#.................................#.................#.........######........#######........#..............#.#.....#..#........#...#.#..#.......#.........#......#..........#......#..#......#
#..........#.............######........#######.................#.........#...................###...########.....######.#.....#..#........#...#.#..#.......#.........#......#..........#......#..#......Y
#..........#.................................#.................#..#......#...........#................#..............#.#.....#..#........#...#.#..#.......#.........#......#..........#......#..#......#
#....#.....#...#...................#.........#......#..........#..#......#...........#...........#....#......#.......#.#.....#..#........#...#.#..#.......#.........#......#..........#......#..#......#
#....#.....#...#...................#.........#......#..........#..#......#...........#...........#....#......#.......#.......#...............#...#######......#######........................###....####
#....#.....#...#...................#.........#......#..........#..#......#...........#...........#....#......#.......##....###.........##..###....#.................#####.....######.........#.........#
#....#.....#...#...................#.........#......#..........###################...#.#.........#####################.......#...............#....#.................#........................#.........#
#....#.....#...#...................#.........#......#..........#......#..........#.....#..........#.......#....#.....#.......###....####.....#....#.................#........................#.........#
#####################........#.....#...#..######################......#..........#.....#..........#.......#....#.....#.......#...............#....#.................#..............###....####.........#
#...#.......#......#.........#.........#...........#...........#......#..........#.....#..........#.......#....#.....#.#.....#..#............#....#.......#.........#......#.................#.........#
#...#.......#......#.........#.........#...........#...........#......#..........#.....#..........#.......#....#.....#.#.....#..#........#...#.#..#.......#.........#......#.................#.........T
#...#.......#......#.........#.........#...........#...........#......#..........#.....#..................#..........#.#........#........#.....#..#.......#................#..........#.........#......#
#...........#................#.........#...........#...........#.................#........................###.....####.#........#........#.....#..#.......#................#..........#.........#......#
####....#####..........................#.......................#.................####....#####............#..........#.#........#........#.....#..#.......#................#..........#.........#......#
#...........####.....#####.............########........#########.................#........................#..........######.....########.#.....#..###########...........############..#.........#......#
#...........#..........................#.......................######......#######...........####.....#####..........#.#..........#....###....#####.........#..............#..........#.........#......#
C...........#............####......#####.............................................................................#.#..........#......#....#.............#..............#.......######.......########
#...#..............#.....#...................................................................#.......................#.#..........#....#.#....#.............#..............#.......#...#.........#.....#
#...#..............#.....#............................................#................#.....#....#............#.....#.#..........#....#.#....#.............#..............#.......#...#.........#.....#
#...#..............#.....#...#.....................#..................#................#.....#....#............#.....#.#..........#....#.#....#.............#..............#.......#...#.........#.....#
#...#..............#.....#...#.....................#..................#................#.....#....#............#.....#.#..........#....#.#....#.............#..............#.......#...#.........#.....#
########.........#########...#.....................#..................#................#.....#....#............#.....#.................#...........................................#...#.........#.....#
#....#.............#.....#...#.....................#..................#................#.....#....#............#.....##....###.........##..###.....................................#...................#
#....#.............#.....#...#.....................#..................#................#.....########........#########.......#.........#.....#......................#..............###....####.........#
#....#.............#.....############.............#######################..........###########....#...........#......#.......###....####.....#......................#####.....######.........#.........#
#........................#.....#..................#...................#..............#.......#....#...........#......#.......#.........#.....#...#######......#######..............#.........#.........#
####....#####............#.....#.......#..........#...................#..........#...#.......#....#.......#...#......#.......#.........#.....#......................#..............#.........#.........#
Q...........#............####......#####.........................................#...........####.....#######.....####.......#.........#.....#......................#..............#.........###....####
#...........####.....#####.............#.......................######......#######...........#............#..........#.#.....#....#....#.....#..............#.......#......#.......#.........#.........#
#...........#............#.............########........#########.................#...........#............#..........#.#.....#....#....#.#...##.............#.......#......#.......#...#.....#...#.....#
#...........#............#.............#.........................................####....#####............#..........#.#.....#....#....#.#...##.............#.......#......#.......#...#.....#...#.....#
#....#......#......#.....#.............#.........................................#...........#....#.......#...#......#.#.....#....#....#.#...##.............#.......#......#.......#...#.....#...#.....#
